"station_name","label","line","direction"
"Church Av","G-coney island","G","coney island"
"Church Av","F-coney island","F","coney island"
"Church Av","F-manhattan","F","manhattan"
"Church Av","G-manhattan","G","manhattan"
"Church Av","2-manhattan","2","manhattan"
"Church Av","5-manhattan","5","manhattan"
"Church Av","2-flatbush av brooklyn college","2","flatbush av brooklyn college"
"Church Av","5-flatbush av brooklyn college","5","flatbush av brooklyn college"
"Coney Island Stillwell Av","N-south","N","south"
"Coney Island Stillwell Av","N-north","N","north"
"Cortlandt St","R-south","R","south"
"Cortlandt St","W-south","W","south"
"Cortlandt St","R-north","R","north"
"Cortlandt St","W-north","W","north"
"Court Square","7-manhattan-bound","7","manhattan"
"Court Square","7-north","7","north"
"Court Square","7-south","7","south"
"Crown Hts - Utica Av","3-north","3","north"
"Crown Hts - Utica Av","4-south","4","south"
"Crown Hts - Utica Av","4-north","4","north"
"Crown Hts - Utica Av","3-south","3","south"
"Dekalb Av","B-brighton beach, coney island, bay ridge","B","brighton beach, coney island, bay ridge"
"Dekalb Av","R-brighton beach, coney island, bay ridge","R","brighton beach, coney island, bay ridge"
"Dekalb Av","Q-brighton beach, coney island, bay ridge","Q","brighton beach, coney island, bay ridge"
"Dekalb Av","B-manhattan","B","manhattan"
"Dekalb Av","R-manhattan","R","manhattan"
"Dekalb Av","Q-manhattan","Q","manhattan"
"Dyckman St","1-south","1","south"
"East 180 St","2-south","2","south"
"East 180 St","5-south","5","south"
"East 180 St","5-north","5","north"
"East 180 St","2-north","2","north"
"Euclid Av","C-south","C","south"
"Euclid Av","A-south","A","south"
"Euclid Av","A-north","A","north"
"Euclid Av","C-north","C","north"
"Far Rockaway - Mott Av","A-north","A","north"
"Far Rockaway - Mott Av","A-south","A","south"
"Flatbush Av Brooklyn College","2-north","2","north"
"Flatbush Av Brooklyn College","2-south","2","south"
"Flatbush Av Brooklyn College","5-south","5","south"
"Flatbush Av Brooklyn College","5-north","5","north"
"Flushing Av","J-jamaica center","J","jamaica center"
"Flushing Av","M-jamaica center","M","jamaica center"
"Flushing Av","J-manhattan","J","manhattan"
"Flushing Av","M-manhattan","M","manhattan"
"Flushing Main St","7-south","7","south"
"Flushing Main St","7-north","7","north"
"Fordham Rd","4-south","4","south"
"Fordham Rd","4-north","4","north"
"Forest Hills - 71 Av","F-jamaica","F","jamaica"
"Forest Hills - 71 Av","E-jamaica","E","jamaica"
"Forest Hills - 71 Av","LIRR-jamaica","LIRR","jamaica"
"Forest Hills - 71 Av","R-jamaica","R","jamaica"
"Forest Hills - 71 Av","M-jamaica","M","jamaica"
"Forest Hills - 71 Av","F-manhattan","F","manhattan"
"Forest Hills - 71 Av","M-manhattan","M","manhattan"
"Forest Hills - 71 Av","R-manhattan","R","manhattan"
"Forest Hills - 71 Av","E-manhattan","E","manhattan"
"Forest Hills - 71 Av","LIRR-manhattan","LIRR","manhattan"
"Franklin Av","C-south","C","south"
"Fulton St","4-south","4","south"
"Fulton St","5-south","5","south"
"Fulton St","5-north","5","north"
"Fulton St","4-north","4","north"
"Fulton St","A-south","A","south"
"Fulton St","C-south","C","south"
"Fulton St","A-north","A","north"
"Fulton St","C-north","C","north"
"Fulton St","2-south","2","south"
"Fulton St","3-north","3","north"
"Fulton St","2-north","2","north"
"Fulton St","3-south","3","south"
"Fulton St","J-north","J","north"
"Fulton St","Z-north","Z","north"
"Gun Hill Rd","5-south","5","south"
"Gun Hill Rd","2-south","2","south"
"Gun Hill Rd","2-north","2","north"
"Gun Hill Rd","5-north","5","north"
"Hunts Point","6-south","6","south"
"Hunts Point","6-north","6","north"
"Jackson Hts - Roosevelt Av","F-south","F","south"
"Jackson Hts - Roosevelt Av","R-north","R","north"
"Jackson Hts - Roosevelt Av","E-south","E","south"
"Jackson Hts - Roosevelt Av","M-north","M","north"
"Jackson Hts - Roosevelt Av","E-north","E","north"
"Jackson Hts - Roosevelt Av","M-south","M","south"
"Jackson Hts - Roosevelt Av","7-north","7","north"
"Jackson Hts - Roosevelt Av","7-south","7","south"
"Jackson Hts - Roosevelt Av","R-south","R","south"
"Jackson Hts - Roosevelt Av","F-north","F","north"
"Jackson Hts - Roosevelt Av","M-manhattan","M","manhattan"
"Jackson Hts - Roosevelt Av","R-manhattan","R","manhattan"
"Jackson Hts - Roosevelt Av","E-manhattan","E","manhattan"
"Jackson Hts - Roosevelt Av","F-manhattan","F","manhattan"
"Jamaica - Van Wyck","E-south","E","south"
"Jamaica - Van Wyck","E-north","E","north"
"Jamaica Center Parsons/Archer","Z-north","Z","north"
"Jamaica Center Parsons/Archer","J-south","J","south"
"Jamaica Center Parsons/Archer","Z-south","Z","south"
"Jamaica Center Parsons/Archer","E-north","E","north"
"Jamaica Center Parsons/Archer","J-north","J","north"
"Jamaica Center Parsons/Archer","E-south","E","south"
"Jay St - MetroTech","C-south","C","south"
"Jay St - MetroTech","C-north","C","north"
"Jay St - MetroTech","F-north","F","north"
"Jay St - MetroTech","F-south","F","south"
"Jay St - MetroTech","R-north","R","north"
"Jay St - MetroTech","A-north","A","north"
"Jay St - MetroTech","A-south","A","south"
"Jay St - MetroTech","R-south","R","south"
"Junction Blvd","7-flushing","7","flushing"
"Junction Blvd","7-manhattan","7","manhattan"
"Kew Gardens / Union Tpk","E-jamaica","E","jamaica"
"Kew Gardens / Union Tpk","F-jamaica","F","jamaica"
"Kew Gardens / Union Tpk","F-manhattan","F","manhattan"
"Kew Gardens / Union Tpk","E-manhattan","E","manhattan"
"Kings Highway","H-brighton beach","H","brighton beach"
"Kings Highway","Q-coney island","Q","coney island"
"Kings Highway","C-brighton beach","C","brighton beach"
"Kings Highway","Q-manhattan","Q","manhattan"
"Kings Highway","B-manhattan","B","manhattan"
"Kingsbridge Road","B-south","B","south"
"Kingsbridge Road","D-south","D","south"
"Kingsbridge Road","D-north","D","north"
"Kingsbridge Road","B-north","B","north"
"Lexington Av / 53 St","E-north","E","north"
"Lexington Av / 53 St","M-south","M","south"
"Lexington Av / 53 St","E-south","E","south"
"Lexington Av / 53 St","M-north","M","north"
"Marcy Av","Z-jamaica center","Z","jamaica center"
"Marcy Av","M-jamaica center","M","jamaica center"
"Marcy Av","J-jamaica center","J","jamaica center"
"Marcy Av","Z-manhattan","Z","manhattan"
"Marcy Av","J-manhattan","J","manhattan"
"Marcy Av","M-manhattan","M","manhattan"
"Myrtle Av / Wyckoff Av","L-south","L","south"
"Myrtle Av / Wyckoff Av","M-north","M","north"
"Myrtle Av / Wyckoff Av","L-north","L","north"
"Myrtle Av / Wyckoff Av","M-south","M","south"
"New Utrecht","D-north","D","north"
"New Utrecht","D-south","D","south"
"New Utrecht","N-north","N","north"
"New Utrecht","N-south","N","south"
"Ozone Park / Lefferts Blvd","A-south","A","south"
"Ozone Park / Lefferts Blvd","A-north","A","north"
"Pelham Bay Park","6-manhattan","6","manhattan"
"Pelham Pkwy","5-manhattan","5","manhattan"
"Pelham Pkwy","2-manhattan","2","manhattan"
"Pelham Pkwy","5-wakefield 241 st","5","wakefield 241 st"
"Pelham Pkwy","2-wakefield 241 st","2","wakefield 241 st"
"Prospect Park","Q-coney island, brighton beach","Q","coney island, brighton beach"
"Prospect Park","B-coney island, brighton beach","B","coney island, brighton beach"
"Prospect Park","Q-manhattan","Q","manhattan"
"Prospect Park","B-manhattan","B","manhattan"
"Queens Plaza","E-jamaica, forest hills","E","jamaica, forest hills"
"Queens Plaza","R-jamaica, forest hills","R","jamaica, forest hills"
"Queens Plaza","M-jamaica, forest hills","M","jamaica, forest hills"
"Queens Plaza","R-manhattan","R","manhattan"
"Queens Plaza","M-manhattan","M","manhattan"
"Queens Plaza","E-manhattan","E","manhattan"
"Roosevelt Island","F-jamaica","F","jamaica"
"Roosevelt Island","F-south","F","south"
"Simpson St","5-manhattan","5","manhattan"
"Simpson St","2-manhattan","2","manhattan"
"Simpson St","5-wakefield 241 st","5","wakefield 241 st"
"Simpson St","2-wakefield 241 st","2","wakefield 241 st"
"South Ferry","1-south","1","south"
"South Ferry","1-north","1","north"
"Sutphin Blvd - Archer Av - JFK Airport","J-north","J","north"
"Sutphin Blvd - Archer Av - JFK Airport","E-north","E","north"
"Sutphin Blvd - Archer Av - JFK Airport","LIRR-south","LIRR","south"
"Sutphin Blvd - Archer Av - JFK Airport","LIRR-north","LIRR","north"
"Sutphin Blvd - Archer Av - JFK Airport","E-south","E","south"
"Sutphin Blvd - Archer Av - JFK Airport","Z-north","Z","north"
"Sutphin Blvd - Archer Av - JFK Airport","Z-south","Z","south"
"Sutphin Blvd - Archer Av - JFK Airport","J-south","J","south"
"Times Sq - 42 St","N-south","N","south"
"Times Sq - 42 St","W-south","W","south"
"Times Sq - 42 St","R-south","R","south"
"Times Sq - 42 St","Q-south","Q","south"
"Times Sq - 42 St","S-north","S","north"
"Times Sq - 42 St","Q-north","Q","north"
"Times Sq - 42 St","R-north","R","north"
"Times Sq - 42 St","7-north","7","north"
"Times Sq - 42 St","W-north","W","north"
"Times Sq - 42 St","N-north","N","north"
"Times Sq - 42 St","3-south","3","south"
"Times Sq - 42 St","3-north","3","north"
"Times Sq - 42 St","S-south","S","south"
"Times Sq - 42 St","2-south","2","south"
"Times Sq - 42 St","2-north","2","north"
"Times Sq - 42 St","1-south","1","south"
"Times Sq - 42 St","1-north","1","north"
"Times Sq - 42 St","7-south","7","south"
"Utica Av","A-south","A","south"
"Utica Av","C-south","C","south"
"Utica Av","C-north","C","north"
"Utica Av","A-north","A","north"
"West 4 St - Washington Sq","F-south","F","south"
"West 4 St - Washington Sq","B-south","B","south"
"West 4 St - Washington Sq","C-south","C","south"
"West 4 St - Washington Sq","A-south","A","south"
"West 4 St - Washington Sq","E-south","E","south"
"West 4 St - Washington Sq","M-south","M","south"
"West 4 St - Washington Sq","D-south","D","south"
"West 4 St - Washington Sq","F-north","F","north"
"West 4 St - Washington Sq","B-north","B","north"
"West 4 St - Washington Sq","D-north","D","north"
"West 4 St - Washington Sq","M-north","M","north"
"West 4 St - Washington Sq","E-north","E","north"
"West 4 St - Washington Sq","C-north","C","north"
"West 4 St - Washington Sq","A-north","A","north"
"WTC Cortlandt St","1-north","1","north"
"WTC Cortlandt St","1-south","1","south"
"Howard Beach","A-north","A","north"
"Howard Beach","A-south","A","south"
"Howard Beach","A-far rockaway","A","far rockaway"
"World Trade Center","E-north","E","north"
"34 St - Penn","C-north","C","north"
"34 St - Penn","E-north","E","north"
"34 St - Penn","A-north","A","north"
"34 St - Penn","A-south","A","south"
"34 St - Penn","C-south","C","south"
"34 St - Penn","E-south","E","south"
"34 St - Penn","1-south","1","south"
"34 St - Penn","2-north","2","north"
"34 St - Penn","2-south","2","south"
"34 St - Penn","3-north","3","north"
"34 St - Penn","3-south","3","south"
"34 St - Penn","1-north","1","north"
"Lexington Av / 63 St","F-north","F","north"
"Lexington Av / 63 St","Q-north","Q","north"
"Lexington Av / 63 St","F-south","F","south"
"Lexington Av / 63 St","Q-south","Q","south"
