,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
22,149 St - 3 Av,EL129,3rd Ave & 149 St (SW corner) to Platform for uptown service,BX,2/5,EL,Y,Y,2-5,['R053']
23,149 St - 3 Av,EL130,Melrose Ave & 149 St (NW corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,['R053']
24,161 St - Yankee Stadium,EL131,161 St & River Ave (NE corner) to Mezzanine to reach service in both directions,BX,4/B/D,EL,Y,Y,4-B-D,['R195']
25,161 St - Yankee Stadium,ES114,Lower Mezzanine to Upper Mezzanine,BX,4/B/D,ES,N,Y,4-B-D,['R195']
26,161 St - Yankee Stadium,ES113,Lower Mezzanine to Upper Mezzanine,BX,4/B/D,ES,N,Y,4-B-D,['R195']
27,161 St - Yankee Stadium,EL133,Mezzanine to Manhattan bound 4 line Platform,BX,4/B/D,EL,Y,Y,4-B-D,['R195']
28,161 St - Yankee Stadium,EL134,Mezzanine to Manhattan bound B/D Platform,BX,4/B/D,EL,Y,Y,4-B-D,['R195']
29,161 St - Yankee Stadium,EL135,Mezzanine to Norwood 205 St bound B/D Platform,BX,4/B/D,EL,Y,Y,4-B-D,['R195']
30,161 St - Yankee Stadium,EL132,Mezzanine to Platform for Woodlawn bound 4 line,BX,4/B/D,EL,Y,Y,4-B-D,['R195']
31,168 St,EL139,168 St & St Nicholas Ave (SE corner) to Mezzanine for A and C service in both directions (and to non-ADA 1 line elevators),MN,A/C,EL,Y,Y,A-C,['R035']
32,168 St,EL112,Lower Mezzanine to Upper Mezzanine,MN,1,EL,N,N,1,['R035']
33,168 St,EL111,Lower Mezzanine to Upper Mezzanine,MN,1,EL,N,N,1,['R035']
34,168 St,EL113,Lower Mezzanine to Upper Mezzanine,MN,1,EL,N,N,1,['R035']
35,168 St,EL114,Lower Mezzanine to Upper Mezzanine,MN,1,EL,N,N,1,['R035']
36,168 St,EL141,Mezzanine to downtown A/C Platform,MN,A/C,EL,Y,Y,A-C,['R035']
37,168 St,EL140,Mezzanine to uptown A/C Platform,MN,A/C,EL,Y,Y,A-C,['R035']
38,175 St,EL123,177 St & Fort Washington Ave (NE corner) to Mezzanine for service in both directions,MN,A,EL,Y,Y,A,['R126']
39,175 St,EL124,Mezzanine to Platform for uptown service,MN,A,EL,Y,Y,A,['R126']
40,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,['R019']
41,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,['R019']
42,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,['R019']
43,181 St,EL107,Lower Mezzanine and Upper Mezzanine,MN,1,EL,N,Y,1,['R260']
44,181 St,EL109,Lower Mezzanine to Upper Mezzanine,MN,1,EL,N,Y,1,['R260']
45,181 St,ES119,Lower Mezzanine to Upper Mezzanine,MN,A,ES,N,Y,A,['R174']
46,181 St,EL110,Lower Mezzanine to Upper Mezzanine,MN,1,EL,N,Y,1,['R260']
47,181 St,EL108,Lower Mezzanine to Upper Mezzanine,MN,1,EL,N,Y,1,['R260']
48,181 St,ES117,Lower Mezzanine to Upper Mezzanine,MN,A,ES,N,Y,A,['R174']
49,181 St,ES118,Lower Mezzanine to Upper Mezzanine,MN,A,ES,N,Y,A,['R174']
50,181 St,EL118,Lower Mezzanine to Upper Mezzanine (below 184 St & Ft Washington Ave),MN,A,EL,N,N,A,['R174']
