destination,walking_dist
Burke Ave,725.494
Gates Ave,575.186
155th St,956.895
34th St - Penn Station,370.447
Broadway,295.546
Clark St,488.662
Spring St,410.31500000000005
Aqueduct Racetrack,1713.501
DeKalb Ave,519.6990000000001
Jay St - MetroTech,299.46200000000005
21st St,395.875
Simpson St,668.1859999999999
Simpson St,399.96000000000004
215th St,450.4959999999999
Prospect Ave,831.953
74th St - Broadway,52.958000000000006
169th St,907.855
Sutphin Blvd,769.9749999999999
Sutphin Blvd - Archer Av,605.8969999999999
Hoyt St,299.46200000000005
Myrtle - Wyckoff Aves,1189.4050000000002
103rd St - Corona Plaza,569.848
Livonia Ave,170.551
75th Ave,804.261
Ave P,634.647
Fordham Rd,722.594
Nostrand Ave,843.437
Crown Hts - Utica Ave,702.1659999999999
Central Ave,658.02
Gates Ave,693.4599999999999
Fulton St,140.85399999999998
51st St,472.32
Lexington Ave - 63rd St,625.543
68th St - Hunter College,397.805
Alabama Ave,465.29
Junius St,170.551
Court Sq - 23rd St,265.79900000000004
Prospect Ave,581.863
Metropolitan Ave,272.73
Broadway - Lafayette St,540.6160000000001
231st St,663.023
Hewes St,418.028
Lorimer St,272.73
Flushing - Main St,1435.185
Fresh Pond Rd,2081.1130000000007
Buhre Ave,466.829
Grand St,475.83700000000005
Montrose Ave,743.64
Pelham Pkwy,996.414
Elder Ave,415.76
Bedford Park Blvd,747.692
176th St,542.851
Seneca Ave,536.512
Central Ave,1015.3080000000002
Flushing Ave,670.384
Greenpoint Ave,884.903
Sheepshead Bay,918.733
Ave X,954.6099999999999
233rd St,619.9869999999999
DeKalb Ave,306.154
Pennsylvania Ave,944.564
62nd St,238.388
Cortelyou Rd,743.127
46th St,719.2519999999998
Mosholu Pkwy,883.512
Crescent St,550.554
Franklin Ave - Fulton St,492.615
Brighton Beach,618.9090000000001
111th St,567.807
Franklin Ave,930.5319999999999
St Lawrence Ave,678.6770000000001
Prospect Park,873.273
Sutphin Blvd,659.5860000000001
Buhre Ave,785.165
Bronx Park East,930.0910000000001
Livonia Ave,612.416
Franklin Ave,839.66
Broadway - Lafayette St,222.71999999999997
Intervale Ave,499.2130000000001
Parkside Ave,873.273
Queensboro Plz,351.43499999999995
Queens Plz,351.43499999999995
Rockaway Ave,860.499
Wall St,176.812
Chauncey St,657.9330000000001
104th St,533.07
Beach 105th St,880.3280000000002
21st St - Queensbridge,2515.542
Sutter Ave - Rutland Road,744.9649999999999
Myrtle - Wyckoff Aves,536.512
Neck Rd,918.733
Euclid Ave,764.0380000000001
Intervale Ave,399.96000000000004
4th Av - 9th St,629.5519999999999
Whitehall St,178.18800000000002
Houston St,410.31500000000005
Morrison Av - Soundview,635.9700000000001
46th St,849.0609999999999
President St,996.228
Parsons Blvd,659.5860000000001
Jamaica Ctr - Parsons / Archer,605.8969999999999
Livonia Ave,665.294
Saratoga Ave,744.9649999999999
42nd St - Bryant Pk,281.563
Burnside Ave,675.829
3rd Ave,480.173
Atlantic Av - Barclay's Center,948.0550000000001
Ralph Ave,864.545
238th St,635.8539999999999
Cleveland St,629.669
21st St,361.406
W 4th St - Washington Sq (Upper),0.0
W 4th St - Washington Sq (Lower),0.0
Ocean Pkwy,654.468
Nereid Ave (238 St),644.961
Rector St,176.812
E 180th St,698.567
Zerega Ave,537.389
South Ferry,178.18800000000002
Hunts Point Ave,686.923
Chauncey St,1073.716
Parkside Ave,1192.144
104th-102nd Sts,686.104
Grand Ave - Newtown,937.205
Mosholu Pkwy,1087.3210000000001
69th St,599.379
Chambers St,236.199
High St,493.606
Castle Hill Ave,454.236
