station_name,clean_lines,equipments,gtfs_stop_id,lat,lon,avg_daily_entries,avg_daily_exits,Elevator,Importance,Perc. Importance,Betweenness,destination,walking_dist
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL212,4,25.0,4708.330837929971,Herald Sq - 34th St,6.0
34th St - Hudson Yards,7,"EL603,ES636,ES623,ES635,ES622,ES621,ES625,ES633,ES634,ES624,EL600,EL602,EL601,ES632,ES629,ES628,ES630,ES631,ES627,ES626",726,40.755882,-74.00191,1364.7479452054795,620.2794520547945,EL600,1,100.0,10626.0,,
34th St - Hudson Yards,7,"EL603,ES636,ES623,ES635,ES622,ES621,ES625,ES633,ES634,ES624,EL600,EL602,EL601,ES632,ES629,ES628,ES630,ES631,ES627,ES626",726,40.755882,-74.00191,1364.7479452054795,620.2794520547945,EL603,1,100.0,1776.0,,
34th St - Hudson Yards,7,"EL603,ES636,ES623,ES635,ES622,ES621,ES625,ES633,ES634,ES624,EL600,EL602,EL601,ES632,ES629,ES628,ES630,ES631,ES627,ES626",726,40.755882,-74.00191,1364.7479452054795,620.2794520547945,EL601,0,0.0,2659.5,,
34th St - Hudson Yards,7,"EL603,ES636,ES623,ES635,ES622,ES621,ES625,ES633,ES634,ES624,EL600,EL602,EL601,ES632,ES629,ES628,ES630,ES631,ES627,ES626",726,40.755882,-74.00191,1364.7479452054795,620.2794520547945,EL602,0,0.0,2659.5,,
Grand Central - 42nd St,456,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",631,40.751776,-73.976848,,,EL244,2,25.0,74384.90158157468,,
Grand Central - 42nd St,456,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",631,40.751776,-73.976848,58.293150684931504,57.04931506849315,EL244,2,25.0,74384.90158157468,,
Grand Central - 42nd St,456,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",631,40.751776,-73.976848,,,EL205,3,37.5,36768.45067108852,,
Grand Central - 42nd St,456,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",631,40.751776,-73.976848,58.293150684931504,57.04931506849315,EL205,3,37.5,36768.45067108852,,
Grand Central - 42nd St,456,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",631,40.751776,-73.976848,,,EL206,3,37.5,46841.436719193145,,
Grand Central - 42nd St,456,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",631,40.751776,-73.976848,58.293150684931504,57.04931506849315,EL206,3,37.5,46841.436719193145,,
Grand Central - 42nd St,456,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",631,40.751776,-73.976848,,,EL296,8,100.0,1776.0,,
Grand Central - 42nd St,456,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",631,40.751776,-73.976848,58.293150684931504,57.04931506849315,EL296,8,100.0,1776.0,,
47th-50th Sts - Rockefeller Ctr,BDFM,"EL234,EL236,EL235",D15,40.758663,-73.981329,1653.6027397260275,1212.172602739726,EL234,8,100.0,1776.0,,
47th-50th Sts - Rockefeller Ctr,BDFM,"EL234,EL236,EL235",D15,40.758663,-73.981329,1653.6027397260275,1212.172602739726,EL236,4,50.0,2714.9639910807896,,
47th-50th Sts - Rockefeller Ctr,BDFM,"EL234,EL236,EL235",D15,40.758663,-73.981329,1653.6027397260275,1212.172602739726,EL235,4,50.0,2995.8310128253834,,
49th St,NQRW,EL268X,R15,40.759901,-73.984139,1568.145205479452,1075.676712328767,EL268X,3,100.0,1776.0,49th St,4.0
49th St,NQRW,EL268X,R15,40.759901,-73.984139,1568.145205479452,1075.676712328767,EL268X,3,100.0,1776.0,49th St,3.0
Woodside - 61st St,7,"EL419X,EL418X,EL417X,EL416X,EL415X,ES448",712,40.74563,-73.902984,684.5068493150685,1580.2109589041097,EL417X,1,50.0,2879.3833333333323,Woodside - 61st St,11.0
Woodside - 61st St,7,"EL419X,EL418X,EL417X,EL416X,EL415X,ES448",712,40.74563,-73.902984,684.5068493150685,1580.2109589041097,EL417X,1,50.0,2879.3833333333323,Woodside - 61st St,10.0
Woodside - 61st St,7,"EL419X,EL418X,EL417X,EL416X,EL415X,ES448",712,40.74563,-73.902984,684.5068493150685,1580.2109589041097,EL416X,1,50.0,2830.8833333333323,Woodside - 61st St,11.0
Woodside - 61st St,7,"EL419X,EL418X,EL417X,EL416X,EL415X,ES448",712,40.74563,-73.902984,684.5068493150685,1580.2109589041097,EL416X,1,50.0,2830.8833333333323,Woodside - 61st St,10.0
Woodside - 61st St,7,"EL419X,EL418X,EL417X,EL416X,EL415X,ES448",712,40.74563,-73.902984,684.5068493150685,1580.2109589041097,EL415X,2,100.0,1776.0,Woodside - 61st St,11.0
Woodside - 61st St,7,"EL419X,EL418X,EL417X,EL416X,EL415X,ES448",712,40.74563,-73.902984,684.5068493150685,1580.2109589041097,EL415X,2,100.0,1776.0,Woodside - 61st St,10.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,,,EL740,1,25.0,3550.0,62nd St,7.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,,,EL740,1,25.0,3550.0,62nd St,3.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,148.2054794520548,278.586301369863,EL740,1,25.0,3550.0,62nd St,7.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,148.2054794520548,278.586301369863,EL740,1,25.0,3550.0,62nd St,3.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,,,EL741,1,25.0,1352.0,62nd St,7.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,,,EL741,1,25.0,1352.0,62nd St,3.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,148.2054794520548,278.586301369863,EL741,1,25.0,1352.0,62nd St,7.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,148.2054794520548,278.586301369863,EL741,1,25.0,1352.0,62nd St,3.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,,,EL738,1,25.0,3550.0,62nd St,7.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,,,EL738,1,25.0,3550.0,62nd St,3.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,148.2054794520548,278.586301369863,EL738,1,25.0,3550.0,62nd St,7.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,148.2054794520548,278.586301369863,EL738,1,25.0,3550.0,62nd St,3.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,,,EL739,3,75.0,15309.2,62nd St,7.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,,,EL739,3,75.0,15309.2,62nd St,3.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,148.2054794520548,278.586301369863,EL739,3,75.0,15309.2,62nd St,7.0
62nd St,D,"EL740,EL741,EL738,EL739",B16,40.626472,-73.996895,148.2054794520548,278.586301369863,EL739,3,75.0,15309.2,62nd St,3.0
66th St - Lincoln Ctr,12,"EL237,EL238",124,40.77344,-73.982209,2495.586301369863,1130.2904109589042,EL237,1,50.0,730.0708721433133,66th St - Lincoln Ctr,13.0
