,station_name,label,line,direction,possible_stops,stop_id
233,Far Rockaway - Mott Av,A-south,A,south,"H11N, H11S",H11S
234,Flatbush Av Brooklyn College,2-north,2,north,"247N, 247S",247N
235,Flatbush Av Brooklyn College,2-south,2,south,"247N, 247S",247S
236,Flatbush Av Brooklyn College,5-south,5,south,"247N, 247S",247S
237,Flatbush Av Brooklyn College,5-north,5,north,"247N, 247S",247N
238,Flushing Av,J-jamaica center,J,jamaica center,"M12N, M12S",M12N
239,Flushing Av,M-jamaica center,M,jamaica center,"M12N, M12S",M12N
240,Flushing Av,J-manhattan,J,manhattan,"M12N, M12S",NULL
241,Flushing Av,M-manhattan,M,manhattan,"M12N, M12S",NULL
242,Flushing Main St,7-south,7,south,"701N, 701S",701S
243,Flushing Main St,7-north,7,north,"701N, 701S",701N
244,Fordham Rd,4-south,4,south,"407N, 407S",407S
245,Fordham Rd,4-north,4,north,"407N, 407S",407N
246,Forest Hills - 71 Av,F-jamaica,F,jamaica,"G08N, G08S",G08N
247,Forest Hills - 71 Av,E-jamaica,E,jamaica,"G08N, G08S",G08N
248,Forest Hills - 71 Av,LIRR-jamaica,LIRR,jamaica,,NULL
249,Forest Hills - 71 Av,R-jamaica,R,jamaica,"G08N, G08S",G08N
250,Forest Hills - 71 Av,M-jamaica,M,jamaica,"G08N, G08S",G08N
251,Forest Hills - 71 Av,F-manhattan,F,manhattan,"G08N, G08S",NULL
252,Forest Hills - 71 Av,M-manhattan,M,manhattan,"G08N, G08S",NULL
253,Forest Hills - 71 Av,R-manhattan,R,manhattan,"G08N, G08S",NULL
254,Forest Hills - 71 Av,E-manhattan,E,manhattan,"G08N, G08S",NULL
255,Forest Hills - 71 Av,LIRR-manhattan,LIRR,manhattan,,NULL
256,Franklin Av,C-south,C,south,"A45N, A45S",A45S
257,Fulton St,4-south,4,south,"418N, 418S",418S
258,Fulton St,5-south,5,south,"418N, 418S",418S
259,Fulton St,5-north,5,north,"418N, 418S",418N
260,Fulton St,4-north,4,north,"418N, 418S",418N
261,Fulton St,A-south,A,south,"A38N, A38S",A38S
262,Fulton St,C-south,C,south,"A38N, A38S",A38S
263,Fulton St,A-north,A,north,"A38N, A38S",A38N
264,Fulton St,C-north,C,north,"A38N, A38S",A38N
265,Fulton St,2-south,2,south,"229N, 229S",229S
266,Fulton St,3-north,3,north,"229N, 229S",229N
267,Fulton St,2-north,2,north,"229N, 229S",229N
