,station_name,label,line,direction,possible_stops,stop_id
397,West 4 St - Washington Sq,C-south,C,south,"A32N, A32S",A32S
398,West 4 St - Washington Sq,A-south,A,south,"A32N, A32S",A32S
399,West 4 St - Washington Sq,E-south,E,south,"A32N, A32S",A32S
400,West 4 St - Washington Sq,M-south,M,south,"D20N, D20S",D20S
401,West 4 St - Washington Sq,D-south,D,south,"D20N, D20S",D20S
402,West 4 St - Washington Sq,F-north,F,north,"D20N, D20S",D20N
403,West 4 St - Washington Sq,B-north,B,north,"D20N, D20S",D20N
404,West 4 St - Washington Sq,D-north,D,north,"D20N, D20S",D20N
405,West 4 St - Washington Sq,M-north,M,north,"D20N, D20S",D20N
406,West 4 St - Washington Sq,E-north,E,north,"A32N, A32S",A32N
407,West 4 St - Washington Sq,C-north,C,north,"A32N, A32S",A32N
408,West 4 St - Washington Sq,A-north,A,north,"A32N, A32S",A32N
409,WTC Cortlandt St,1-north,1,north,"138N, 138S",138N
410,WTC Cortlandt St,1-south,1,south,"138N, 138S",138S
411,Howard Beach,A-north,A,north,"H03N, H03S",H03N
412,Howard Beach,A-south,A,south,"H03N, H03S",H03S
413,Howard Beach,A-far rockaway,A,far rockaway,"H03N, H03S",H03S
414,World Trade Center,E-north,E,north,"E01N, E01S",E01N
415,34 St - Penn,C-north,C,north,"A28N, A28S",A28N
416,34 St - Penn,E-north,E,north,"A28N, A28S",A28N
417,34 St - Penn,A-north,A,north,"A28N, A28S",A28N
418,34 St - Penn,A-south,A,south,"A28N, A28S",A28S
419,34 St - Penn,C-south,C,south,"A28N, A28S",A28S
420,34 St - Penn,E-south,E,south,"A28N, A28S",A28S
421,34 St - Penn,1-south,1,south,"128N, 128S",128S
422,34 St - Penn,2-north,2,north,"128N, 128S",128N
423,34 St - Penn,2-south,2,south,"128N, 128S",128S
424,34 St - Penn,3-north,3,north,"128N, 128S",128N
425,34 St - Penn,3-south,3,south,"128N, 128S",128S
426,34 St - Penn,1-north,1,north,"128N, 128S",128N
427,Lexington Av / 63 St,F-north,F,north,"B08N, B08S",B08N
428,Lexington Av / 63 St,Q-north,Q,north,"B08N, B08S",B08N
429,Lexington Av / 63 St,F-south,F,south,"B08N, B08S",B08S
430,Lexington Av / 63 St,Q-south,Q,south,"B08N, B08S",B08S
