station_name,equipment_id,from,to,platform_id
74 St - Broadway / Roosevelt Av,EL420,Street,Mezzanine,
74 St - Broadway / Roosevelt Av,,Mezzanine,Platform,7-north
74 St - Broadway / Roosevelt Av,EL422,Lower Mezzanine,Platform,E-north/F-north/M-north/R-north
74 St - Broadway / Roosevelt Av,EL421,Lower Mezzanine,Platform,E-south/F-south/M-south/R-south
74 St - Broadway / Roosevelt Av,EL420,Street,Lower Mezzanine,
Fulton St,EL716,Concourse,Platform,4-south/5-south
Fulton St,EL717X,Street,Platform,5-north/4-north
Fulton St,EL717X,Street,Concourse
Fulton St,EL718X,Street,Platform,5-north/4-north
Fulton St,EL719,Nassau St Mezzanine,Platform,A-south/C-south/A-north/C-north
Fulton St,EL720,Unknown1,Unknown2,
Fulton St,EL721,Unknown3,Unknown4,
Fulton St,,Nassau St Mezzanine,Platform,J-south/Z-south
Fulton St,EL722,Street,Nassau St Mezzanine,
Fulton St,EL723,Street,William St Mezzanine,
Fulton St,EL728X,Street,Platform,5-north/4-north
Fulton St,EL728X,Street,Concourse,
Fulton St,EL729X,Concourse,Platform,4-south/5-south
Fulton St,EL732,William St Mezzanine,Platform,2-south/3-north/2-north/3-south
Fulton St,EL733X,Street,Upper retail,
62 St / New Utrecht,EL739,Street,Mezzanine,
62 St / New Utrecht,EL739,Street,Platform,N-south
50 St,EL207X,Street,Platform,C-south
50 St,EL208X,Connection,Platform,C-south
50 St,EL208X,Connection,Platform,E-south
Crown Hts - Utica Av,EL323,Mezzanine,Platform,3-north/3-south/4-north/4-south
Franklin Av,EL339,Street,Platform,C-euclid/S-euclid
Franklin Av,EL339,Street,Footbridge,
Franklin Av,EL340,Footbridge,Platform,C-manhattan
