service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BSP20GEN-G036-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
AFA19GEN-GS010-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
BSP20GEN-H025-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
BSP20GEN-J032-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
BSP20GEN-L022-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
BSP20GEN-M024-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
BSP20GEN-N055-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
BSP20GEN-Q021-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
BSP20GEN-R051-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
SIR-FA2017-SI017-Saturday-00,0,0,0,0,0,1,0,20200502,20201031
